@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
92,'2017/02/13 21:10:32:204',4,388.606323,440.042816,42.542946,0,?,0.99,?,?
93,'2017/02/13 21:10:32:332',4,388.560638,440.012939,42.526436,0,?,0.99,?,?
94,'2017/02/13 21:10:32:400',4,388.482666,439.983765,42.502335,0,?,0.99,?,?
95,'2017/02/13 21:10:32:460',4,388.476288,439.987549,42.49482,0,?,0.99,?,?
96,'2017/02/13 21:10:32:684',4,388.528687,440.09494,42.472885,0,?,0.99,?,?
97,'2017/02/13 21:10:32:888',4,388.561798,440.170105,42.462639,0,?,0.99,?,?
98,'2017/02/13 21:10:33:128',4,388.158661,440.3349,42.428211,0,?,0.99,?,?
99,'2017/02/13 21:10:33:201',4,388.09848,440.363647,42.417595,0,?,0.99,?,?
100,'2017/02/13 21:10:33:551',4,387.949158,440.369843,42.404461,0,?,0.99,?,?
101,'2017/02/13 21:10:33:983',4,387.800232,440.390717,42.38929,0,?,0.99,?,?
102,'2017/02/13 21:10:34:079',4,387.788086,440.410706,42.38731,0,?,0.99,?,?
103,'2017/02/13 21:10:34:360',4,387.803101,440.455566,42.387779,0,?,0.99,?,?
104,'2017/02/13 21:10:34:474',4,387.815613,440.461121,42.389423,0,?,0.99,?,?
105,'2017/02/13 21:10:34:578',4,387.830261,440.469788,42.39146,0,?,0.99,?,?
106,'2017/02/13 21:10:40:474',5,402.358765,82.62912,34.008045,0,?,99.99,?,?
107,'2017/02/13 21:10:40:547',5,402.509918,83.308441,34.011456,0,?,99.99,?,?
108,'2017/02/13 21:10:40:742',5,402.518372,83.32373,34.012264,0,?,99.99,?,?
109,'2017/02/13 21:10:40:933',5,401.859772,85.258179,33.995094,0,?,99.99,?,?
110,'2017/02/13 21:10:41:168',5,400.925049,84.408051,33.85408,0,?,99.99,?,?
111,'2017/02/13 21:10:41:402',5,393.489655,84.869141,33.583118,0,?,99.99,?,?
112,'2017/02/13 21:10:41:473',5,392.144348,84.546844,33.511612,0,?,99.99,?,?
113,'2017/02/13 21:10:41:777',5,386.185974,84.666748,33.531754,0,?,99.99,?,?
114,'2017/02/13 21:10:41:828',5,384.759949,85.044342,33.573105,0,?,99.99,?,?
115,'2017/02/13 21:10:42:019',5,384.189758,84.573303,33.613873,0,?,99.99,?,?
116,'2017/02/13 21:10:42:078',5,384.807159,79.257263,33.539795,0,?,99.99,?,?
117,'2017/02/13 21:10:42:227',5,386.285065,77.224091,33.431145,0,?,99.99,?,?
118,'2017/02/13 21:10:42:337',5,394.424103,75.007904,33.920887,0,?,99.99,?,?
119,'2017/02/13 21:10:42:639',5,404.350189,72.495544,34.715046,0,?,99.99,?,?
120,'2017/02/13 21:10:42:779',5,406.649933,72.948242,34.902218,0,?,99.99,?,?
121,'2017/02/13 21:10:43:021',5,407.119324,76.853088,35.89201,0,?,99.99,?,?
122,'2017/02/13 21:10:43:268',5,406.029816,79.475525,36.471088,0,?,99.99,?,?
